Sample_ID	collection_date	env_broad_scale	env_local_scale	env_medium	sample_name	Sitename	depth
SRR17937101	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R2_F7	TS6	27mm
SRR17937102	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R2_F5	TS6	45mm
SRR17937103	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R2_F3	TS6	63mm
SRR17937104	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R2_F1	TS6	81mm
SRR17937105	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R1_F4	SRS2	63mm
SRR17937106	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R1_F9	TS6	09mm
SRR17937107	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R1_F7	TS6	27mm
SRR17937108	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R1_F5	TS6	45mm
SRR17937109	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R1_F3	TS6	63mm
SRR17937110	2020-08	Mangrove biome	Mangrove|Taylor Slough 06	Mangrove|marsh	TS6_R1_F1	TS6	81mm
SRR17937111	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R3_F8	TS3	09mm
SRR17937112	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R3_F6	TS3	27mm
SRR17937113	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R3_F4	TS3	45mm
SRR17937114	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R3_F2	TS3	63mm
SRR17937115	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R3_F1	TS3	81mm
SRR17937116	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R1_F2	SRS2	81mm
SRR17937117	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R2_F9	TS3	27mm
SRR17937118	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R2_F7	TS3	45mm
SRR17937119	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R2_F5	TS3	63mm
SRR17937120	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R2_F8	TS1	27mm
SRR17937121	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R2_F6	TS1	45mm
SRR17937122	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R2_F4	TS1	63mm
SRR17937123	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R2_F2	TS1	81mm
SRR17937124	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R2_F3	TS3	81mm
SRR17937125	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R2_F11	TS3	09mm
SRR17937126	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R1_F9	TS3	27mm
SRR17937127	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R1_F7	TS3	45mm
SRR17937128	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R1_F5	TS3	63mm
SRR17937129	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R1_F3	TS3	81mm
SRR17937130	2020-08	Freshwater biome	Freshwater|Taylor Slough 03	Freshwater|marsh	TS3_R1_F11	TS3	09mm
SRR17937131	2020-08	Freshwater biome	Freshwater|Shark River Slough 2	Freshwater|marsh	SRS2_R1_F10	SRS2	09mm
SRR17937132	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R3_F8	TS2	27mm
